Player,Bye,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jameson Williams,9,74,0,0,0,0,0,0,3,29,1,0,24,354,2,0,0,0
Taylor Heinicke,11,73,136,74,890,5,4,0,15,124,1,0,0,0,0,0,0,0
Pat Freiermuth,6,72,0,0,0,0,0,0,0,0,0,0,32,308,2,1,0,0
Latavius Murray,13,71,0,0,0,0,0,0,79,300,4,0,17,119,0,0,0,0
Luke Musgrave,6,71,0,0,0,0,0,0,0,0,0,0,34,352,1,0,0,0
Brandon Johnson,9,69,0,0,0,0,0,0,0,0,0,0,19,284,4,1,0,0
Rashod Bateman,13,68,0,0,0,0,0,0,1,18,0,0,32,367,1,0,0,0
Noah Fant,5,67,0,0,0,0,0,0,0,0,0,0,32,414,0,0,0,0
Dameon Pierce,7,67,0,0,0,0,0,0,145,416,2,0,13,101,0,0,0,0
Durham Smythe,10,67,0,0,0,0,0,0,0,0,0,0,35,366,0,0,0,0
Zamir White,13,67,0,0,0,0,0,0,104,451,1,0,15,98,0,0,1,0
Emari Demercado,14,66,0,0,0,0,0,0,58,284,2,0,21,119,0,0,0,0
Kylen Granson,11,66,0,0,0,0,0,0,1,2,0,0,30,368,1,0,0,0
DeVante Parker,11,66,0,0,0,0,0,0,0,0,0,0,33,394,0,0,0,0
Cedrick Wilson,10,66,0,0,0,0,0,0,0,0,0,0,22,296,3,0,0,0
Michael Mayer,13,65,0,0,0,0,0,0,0,0,0,0,27,304,2,1,0,0
Tre Tucker,13,65,0,0,0,0,0,0,10,77,0,0,19,331,2,0,0,0
Noah Gray,10,64,0,0,0,0,0,0,1,1,0,0,28,305,2,0,0,0
Keaton Mitchell,13,64,0,0,0,0,0,0,47,396,2,0,9,93,0,0,0,0
Brandon Powell,13,63,0,0,0,0,0,0,5,17,0,0,29,324,1,0,1,0
Marvin Mims,9,62,0,0,0,0,0,0,9,30,0,0,22,377,1,0,2,0
Chris Moore,7,61,0,0,0,0,0,0,2,39,0,0,22,424,0,0,0,0
Greg Dortch,14,60,0,0,0,0,0,0,1,5,0,0,24,280,2,0,0,0
Mike Gesicki,11,59,0,0,0,0,0,0,0,0,0,0,29,244,2,0,0,0
Tyson Bagent,13,58,143,94,859,3,6,0,23,109,2,0,0,0,0,0,2,0
Clyde Edwards-Helaire,10,58,0,0,0,0,0,0,70,223,1,0,17,188,1,0,0,0
Trenton Irwin,7,58,0,0,0,0,0,0,0,0,0,0,25,316,1,0,0,0
Isaiah Hodgins,13,57,0,0,0,0,0,0,0,0,0,0,21,230,3,0,1,0
A.T. Perry,11,57,0,0,0,0,0,0,0,0,0,0,12,246,4,0,0,0
JuJu Smith-Schuster,11,57,0,0,0,0,0,0,0,0,0,0,29,260,1,0,0,0
Daniel Jones,13,56,160,108,909,2,6,0,40,206,1,0,0,0,0,0,1,0
Allen Robinson,6,56,0,0,0,0,0,0,0,0,0,0,34,280,0,0,0,0
Jalin Hyatt,13,55,0,0,0,0,0,0,0,0,0,0,23,373,0,0,0,0
Allen Lazard,7,55,0,0,0,0,0,0,0,0,0,0,23,311,1,0,0,0
Tommy Tremble,7,55,0,0,0,0,0,0,0,0,0,0,23,194,3,0,0,0
Jalen Tolbert,7,54,0,0,0,0,0,0,0,0,0,0,22,268,2,0,1,0
Adam Trautman,9,54,0,0,0,0,0,0,0,0,0,0,22,204,3,0,0,0
Braxton Berrios,10,53,0,0,0,0,0,0,1,11,0,0,27,238,1,0,0,0
Joshua Kelley,5,53,0,0,0,0,0,0,107,405,2,0,8,32,0,0,1,0
Colby Parkinson,5,53,0,0,0,0,0,0,0,0,0,0,25,247,2,0,0,0
Mitchell Trubisky,6,53,107,67,632,4,5,1,16,54,2,0,0,0,0,0,1,0
KaVontae Turpin,7,53,0,0,0,0,0,0,11,110,1,0,12,127,3,0,0,0
Marquez Valdes-Scantling,10,52,0,0,0,0,0,0,0,0,0,0,21,315,1,0,1,0
Dawson Knox,13,51,0,0,0,0,0,0,0,0,0,0,22,186,2,1,0,0
