Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
283,Allen Robinson,PIT,WR,30,17,17,0,0,0,0,0,0,0,,0,49,34,280,8.24,0,0,0,0,,,28,62,65,45,,117,,2023
284,Drew Sample,CIN,TE,27,17,10,0,0,0,0,0,0,0,,0,27,22,163,7.41,2,0,0,2,,,28,50.3,53.3,39.3,,45,,2023
285,Olamide Zaccheaus,PHI,WR,26,17,1,0,0,0,0,0,0,0,,0,20,10,164,16.4,2,0,0,2,,,28,38.4,41.4,33.4,,115,,2023
286,Salvon Ahmed,MIA,RB,25,8,0,0,0,0,0,0,22,61,2.77,1,23,16,88,5.5,1,0,0,2,,,27,42.9,42.9,34.9,,76,,2023
287,Andrew Ogletree,IND,TE,25,12,9,0,0,0,0,0,0,0,,0,21,9,147,16.33,2,0,0,2,,,27,35.7,38.7,31.2,,47,,2023
288,Trevor Siemian,NYJ,QB,32,5,3,86,153,724,2,4,11,40,3.64,0,0,0,0,,0,5,3,0,,,27,27,37,31,,49,,2023
289,Jarrett Stidham,DEN,QB,27,3,2,40,66,496,2,1,9,8,0.89,0,0,0,0,,0,1,0,0,,,27,26.6,30.6,27.6,,50,,2023
290,Jeff Wilson,MIA,RB,28,10,0,0,0,0,0,0,41,188,4.59,0,17,14,85,6.07,0,0,0,0,,,27,41.3,44.3,34.3,,75,,2023
291,Jamal Agnew,JAX,WR,28,11,1,0,0,0,0,0,4,-2,-0.5,0,21,14,225,16.07,1,1,1,1,,,26,40.3,44.3,33.3,,118,,2023
292,Daniel Bellinger,NYG,TE,23,17,13,0,0,0,0,0,0,0,,0,28,25,255,10.2,0,0,0,0,,,26,50.5,53.5,38,,48,,2023
293,Chase Edmonds,TAM,RB,27,13,0,0,0,0,0,0,49,176,3.59,0,17,14,81,5.79,0,0,0,0,,,26,39.7,42.7,32.7,,77,,2023
294,Tyler Huntley,BAL,QB,25,5,1,21,37,203,3,0,15,55,3.67,0,0,0,0,,0,0,0,0,,,26,25.6,25.6,25.6,,52,,2023
295,Kadarius Toney,KAN,WR,24,13,2,0,1,0,0,0,11,31,2.82,0,38,27,169,6.26,1,1,0,1,,,26,53,56,39.5,,119,,2023
296,Carson Wentz,LAR,QB,31,2,1,17,24,163,2,1,17,56,3.29,1,0,0,0,,0,0,0,1,,1,26,26.1,27.1,27.1,,51,,2023
297,Ronnie Bell,SFO,WR,23,17,0,0,0,0,0,0,0,0,,0,13,6,68,11.33,3,1,0,3,,,25,30.8,30.8,27.8,,123,,2023
298,Pharaoh Brown,NWE,TE,29,17,11,0,0,0,0,0,0,0,,0,15,13,208,16,1,1,1,1,,,25,37.8,41.8,31.3,,51,,2023
299,Harrison Bryant,CLE,TE,25,17,9,0,0,0,0,0,5,8,1.6,0,20,13,81,6.23,3,1,1,3,,,25,37.9,38.9,31.4,,50,,2023
300,Dalvin Cook,2TM,RB,28,15,1,0,0,0,0,0,67,214,3.19,0,20,15,78,5.2,0,2,2,0,,,25,40.2,45.2,32.7,,79,,2023
301,Zach Ertz,ARI,TE,33,7,7,0,0,0,0,0,0,0,,0,43,27,187,6.93,1,0,0,1,,,25,51.7,54.7,38.2,,52,,2023
302,Deonte Harty,BUF,WR,26,16,1,0,0,0,0,0,4,0,0,0,21,15,150,10,1,2,1,2,,,25,40,44,32.5,,122,,2023
303,Mack Hollins,ATL,WR,30,13,3,0,0,0,0,0,0,0,,0,30,18,251,13.94,0,0,0,0,,,25,43.1,46.1,34.1,,121,,2023
304,D'Ernest Johnson,JAX,RB,27,17,0,0,0,0,0,0,41,108,2.63,0,12,10,140,14,0,0,0,0,,,25,34.8,40.8,29.8,,81,,2023
305,Ty Johnson,BUF,RB,26,10,0,0,0,0,0,0,30,132,4.4,0,7,7,62,8.86,1,1,0,1,,,25,32.4,35.4,28.9,,78,,2023
306,Julio Jones,PHI,WR,34,11,4,0,0,0,0,0,0,0,,0,19,11,74,6.73,3,0,0,3,,,25,36.4,36.4,30.9,,120,,2023
307,Tony Jones,2TM,RB,26,7,1,0,0,0,0,0,26,95,3.65,2,10,7,37,5.29,0,0,0,2,,,25,32.2,32.2,28.7,,80,,2023
308,Kyle Juszczyk*+,SFO,FB,32,17,16,0,0,0,0,0,5,6,1.2,0,17,14,119,8.5,2,0,0,2,,,25,38.5,41.5,31.5,,83,,2023
309,Foster Moreau,NOR,TE,26,15,10,0,0,0,0,0,0,0,,0,25,21,193,9.19,1,0,0,1,,,25,46.3,49.3,35.8,,49,,2023
